RESPONSABLE DE SERVICIO,,, ,,,,,,DISTANCIA,ADULTO,ESCOLAR MEDIA,ESCOLAR SUPERIOR,TARIFA TERCERA EDAD,TARIFA MINIMA,INTERIOR,NOCTURNA,LOCAL URBANO,LOCAL RURAL,INTERMEDIOS,TRASNOCHE,DGOS- Y FESTIVOS,INICIO,TÉRMINO,N° Resolucion,Fecha,tipo servicio,
Folio,NOMBRE EMPRESA,COMUNA,Troncal - RUTA O VTE,TRAMO,SECTOR INICIO,COMUNA,SECTOR TÉRMINO,COMUNA,KM.,$,$,$,$,$,$,$,$,$,$,$,$,Hrs:,Hrs:,,,COLECTIVO RURAL,
42,Gustavo Ernesto Cepeda Lazo,Catemu,Ruta 1,6,García Huidobro,Catemu,Cerrillos,Catemu,8,,,,,,,1000,,,,,,21.01,24.00,1950,01/09/21,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,1,San Antonio,San Antonio,Cartagena,Cartagena,7,650,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,2,San Antonio,San Antonio,San Sebastian,Cartagena,9,1000,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,3,San Antonio,San Antonio,San Carlos,Tabo,12,1100,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,4,San Antonio,San Antonio,Las Cruces,Tabo,15,1100,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,5,San Antonio,San Antonio,El Tabito,Tabo,18,1200,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,6,San Antonio,San Antonio,El Tabo,Tabo,25,1200,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,7,San Antonio,San Antonio,Villa El Tabo,Tabo,28,1400,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,8,San Antonio,San Antonio,Isla Negra,El Quisco,30,1300,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,9,San Antonio,San Antonio,Punta de Tralca,El Quisco,31,1300,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,10,San Antonio,San Antonio,El Quisco,El Quisco,33,1300,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,11,San Antonio,San Antonio,Algarrobo,Algarrobo,35,1400,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,12,San Antonio,San Antonio,Estadio,Algarrobo,37,1450,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,13,San Antonio,San Antonio,Alicia Monckever,Algarrobo,39,1650,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,14,San Antonio,San Antonio,Aguas Marinas,Algarrobo,42,1650,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,15,San Antonio,San Antonio,Bosque Mar,Algarrobo,46,1900,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,16,San Antonio,San Antonio,Playa Inter-San Alfonso,Algarrobo,48,1650,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,17,San Antonio,San Antonio,Mirasol ,Algarrobo,50,1800,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,18,San Antonio,San Antonio,Yeco,Algarrobo,56,2500,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,1,Cartagena,Cartagena,Cartagena,Cartagena,1,600,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,2,Cartagena,Cartagena,San Sebastian,Cartagena,9,800,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,3,Cartagena,Cartagena,San Carlos,Tabo,10,800,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,4,Cartagena,Cartagena,Las Cruces,Tabo,13,800,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,5,Cartagena,Cartagena,El Tabito,Tabo,16,1100,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,6,Cartagena,Cartagena,El Tabo,Tabo,23,1100,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,7,Cartagena,Cartagena,Villa El Tabo,Tabo,27,1300,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,8,Cartagena,Cartagena,Isla Negra,El Quisco,29,1300,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,9,Cartagena,Cartagena,Punta de Tralca,El Quisco,30,1300,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,10,Cartagena,Cartagena,El Quisco,El Quisco,32,1300,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,11,Cartagena,Cartagena,Algarrobo,Algarrobo,33,1350,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,12,Cartagena,Cartagena,Estadio,Algarrobo,35,1400,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,13,Cartagena,Cartagena,Alicia Monckever,Algarrobo,37,1550,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,14,Cartagena,Cartagena,Aguas Marinas,Algarrobo,40,1650,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,15,Cartagena,Cartagena,Bosque Mar,Algarrobo,44,1900,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,16,Cartagena,Cartagena,Playa Inter-San Alfonso,Algarrobo,46,1650,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,17,Cartagena,Cartagena,Mirasol ,Algarrobo,48,1800,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,18,Cartagena,Cartagena,Yeco,Algarrobo,54,2450,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,1,San Sebastian,Cartagena,Cartagena,Cartagena,9,800,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,2,San Sebastian,Cartagena,San Sebastian,Cartagena,1,600,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,3,San Sebastian,Cartagena,San Carlos,Tabo,10,600,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,4,San Sebastian,Cartagena,Las Cruces,Tabo,12,700,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,5,San Sebastian,Cartagena,El Tabito,Tabo,15,900,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,6,San Sebastian,Cartagena,El Tabo,Tabo,22,900,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,7,San Sebastian,Cartagena,Villa El Tabo,Tabo,26,1200,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,8,San Sebastian,Cartagena,Isla Negra,El Quisco,29,1200,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,9,San Sebastian,Cartagena,Punta de Tralca,El Quisco,30,1200,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,10,San Sebastian,Cartagena,El Quisco,El Quisco,31,1200,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,11,San Sebastian,Cartagena,Algarrobo,Algarrobo,32,1300,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,12,San Sebastian,Cartagena,Estadio,Algarrobo,34,1400,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,13,San Sebastian,Cartagena,Alicia Monckever,Algarrobo,36,1450,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,14,San Sebastian,Cartagena,Aguas Marinas,Algarrobo,39,1450,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,15,San Sebastian,Cartagena,Bosque Mar,Algarrobo,43,1800,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,16,San Sebastian,Cartagena,Playa Inter-San Alfonso,Algarrobo,45,1450,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,17,San Sebastian,Cartagena,Mirasol ,Algarrobo,47,1700,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,18,San Sebastian,Cartagena,Yeco,Algarrobo,52,2300,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,1,San Carlos,El Tabo,San Antonio,San Antonio,12,1100,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,2,San Carlos,El Tabo,Cartagena,Cartagena,10,800,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,3,San Carlos,El Tabo,San Sebastian,Cartagena,1,700,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,4,San Carlos,El Tabo,San Carlos,Tabo,14,600,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,5,San Carlos,El Tabo,Las Cruces,Tabo,15,600,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,6,San Carlos,El Tabo,El Tabito,Tabo,16,800,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,7,San Carlos,El Tabo,El Tabo,Tabo,17,800,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,8,San Carlos,El Tabo,Villa El Tabo,Tabo,18,1000,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,9,San Carlos,El Tabo,Isla Negra,El Quisco,20,1000,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,10,San Carlos,El Tabo,Punta de Tralca,El Quisco,22,1000,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,11,San Carlos,El Tabo,El Quisco,El Quisco,24,1000,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,12,San Carlos,El Tabo,Algarrobo,Algarrobo,26,1100,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,13,San Carlos,El Tabo,Estadio,Algarrobo,28,1300,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,14,San Carlos,El Tabo,Alicia Monckever,Algarrobo,33,1400,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,15,San Carlos,El Tabo,Aguas Marinas,Algarrobo,36,1400,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,16,San Carlos,El Tabo,Bosque Mar,Algarrobo,38,1700,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,17,San Carlos,El Tabo,Playa Inter-San Alfonso,Algarrobo,40,1400,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,18,San Carlos,El Tabo,Mirasol ,Algarrobo,47,1600,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,19,San Carlos,El Tabo,Yeco,Algarrobo,53,1800,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,1,Las Cruces,El Tabo,San Antonio,San Antonio,15,1100,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,2,Las Cruces,El Tabo,Cartagena,Cartagena,13,800,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,3,Las Cruces,El Tabo,San Sebastian,Cartagena,12,700,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,4,Las Cruces,El Tabo,San Carlos,Tabo,10,600,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,5,Las Cruces,El Tabo,Las Cruces,Tabo,1,600,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,6,Las Cruces,El Tabo,El Tabito,Tabo,10,700,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,7,Las Cruces,El Tabo,El Tabo,Tabo,12,700,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,8,Las Cruces,El Tabo,Villa El Tabo,Tabo,14,900,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,9,Las Cruces,El Tabo,Isla Negra,El Quisco,16,1000,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,10,Las Cruces,El Tabo,Punta de Tralca,El Quisco,17,1000,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,11,Las Cruces,El Tabo,El Quisco,El Quisco,19,1000,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,12,Las Cruces,El Tabo,Algarrobo,Algarrobo,22,1100,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,13,Las Cruces,El Tabo,Estadio,Algarrobo,23,1300,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,14,Las Cruces,El Tabo,Alicia Monckever,Algarrobo,25,1400,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,15,Las Cruces,El Tabo,Aguas Marinas,Algarrobo,30,1500,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,16,Las Cruces,El Tabo,Bosque Mar,Algarrobo,33,1700,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,17,Las Cruces,El Tabo,Playa Inter-San Alfonso,Algarrobo,36,1400,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,18,Las Cruces,El Tabo,Mirasol ,Algarrobo,40,1600,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R3,19,Las Cruces,El Tabo,Yeco,Algarrobo,45,1700,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R1-R2-R3,1,El Tabo,El Tabo,San Antonio,San Antonio,25,1200,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R1-R2-R3,2,El Tabo,El Tabo,Cartagena,Cartagena,23,1100,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R1-R2-R3,3,El Tabo,El Tabo,San Sebastian,Cartagena,22,900,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R1-R2-R3,4,El Tabo,El Tabo,San Carlos,Tabo,18,800,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R1-R2-R3,5,El Tabo,El Tabo,Las Cruces,Tabo,12,700,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R1-R2-R3,6,El Tabo,El Tabo,El Tabito,Tabo,14,600,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R1-R2-R3,7,El Tabo,El Tabo,El Tabo,Tabo,1,600,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R1-R2-R3,8,El Tabo,El Tabo,Villa El Tabo,Tabo,4,600,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R1-R2-R3,9,El Tabo,El Tabo,Isla Negra,El Quisco,8,600,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R1-R2-R3,10,El Tabo,El Tabo,Punta de Tralca,El Quisco,12,600,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R1-R2-R3,11,El Tabo,El Tabo,El Quisco,El Quisco,14,700,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R1-R2-R3,12,El Tabo,El Tabo,Algarrobo,Algarrobo,16,900,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R1-R2-R3,13,El Tabo,El Tabo,Estadio,Algarrobo,18,900,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R1-R2-R3,14,El Tabo,El Tabo,Alicia Monckever,Algarrobo,20,1100,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R1-R2-R3,15,El Tabo,El Tabo,Aguas Marinas,Algarrobo,22,1100,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R1-R2-R3,16,El Tabo,El Tabo,Bosque Mar,Algarrobo,26,1600,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R1-R2-R3,17,El Tabo,El Tabo,Playa Inter-San Alfonso,Algarrobo,28,1300,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R1-R2-R3,18,El Tabo,El Tabo,Mirasol ,Algarrobo,30,1400,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R1-R2-R3,19,El Tabo,El Tabo,Yeco,Algarrobo,34,1600,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R1-R2-R3,1,Villa El Tabo,El Tabo,San Antonio,San Antonio,28,1400,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R1-R2-R3,2,Villa El Tabo,El Tabo,Cartagena,Cartagena,27,1300,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R1-R2-R3,3,Villa El Tabo,El Tabo,San Sebastian,Cartagena,26,1200,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
43,Eª DE TRANS.DE PASAJEROS LITORALTUR LTDA.,San Antonio,R1-R2-R3,4,Villa El Tabo,El Tabo,San Carlos,Tabo,19,1000,,,,,,,,,,,,08.00,20.59,1212,23/04/14,COLECTIVO RURAL,
