RESPONSABLE DE SERVICIO,,, ,,,,,,DISTANCIA,ADULTO,ESCOLAR MEDIA,ESCOLAR SUPERIOR,TARIFA TERCERA EDAD,TARIFA MINIMA,INTERIOR,NOCTURNA,LOCAL URBANO,LOCAL RURAL,INTERMEDIOS,TRASNOCHE,DGOS- Y FESTIVOS,INICIO,TÉRMINO,N° Resolucion,Fecha,tipo servicio,
Folio,NOMBRE EMPRESA,COMUNA,Troncal - RUTA O VTE,TRAMO,SECTOR INICIO,COMUNA,SECTOR TÉRMINO,COMUNA,KM.,$,$,$,$,$,$,$,$,$,$,$,$,Hrs:,Hrs:,,,COLECTIVO RURAL,
1,Asoc. Gremial de Taxis Colectivos Los Andes Calle Larga,Los Andes,RUTA 1,11,CENTRO LOS ANDES,LOS ANDES,VILLA LAS PALMAS ,CALLE LARGA,9,1902,,,,,,,,,,,,7:00,21:00,2201,17/10/22,COLECTIVO RURAL,
1,Asoc. Gremial de Taxis Colectivos Los Andes Calle Larga,Los Andes,RUTA 1,12,CENTRO LOS ANDES,LOS ANDES,SANTUARIO DE AUCO,CALLE LARGA,15,2402,,,,,,,,,,,,7:00,21:00,2201,17/10/22,COLECTIVO RURAL,
1,Asoc. Gremial de Taxis Colectivos Los Andes Calle Larga,Los Andes,RUTA 1,1,CENTRO LOS ANDES,LOS ANDES,"1° CRUCERO, PLAZA, PARADERO 11",CALLE LARGA,6,,,,,,,1002,,,,,,21:01,23:00,2201,17/10/22,COLECTIVO RURAL,
1,Asoc. Gremial de Taxis Colectivos Los Andes Calle Larga,Los Andes,RUTA 1,2,CENTRO LOS ANDES,LOS ANDES,"CAPILLA LAS NIEVES 1,2,3, CONSULTORIO",CALLE LARGA,7,,,,,,,1002,,,,,,21:01,23:00,2201,17/10/22,COLECTIVO RURAL,
1,Asoc. Gremial de Taxis Colectivos Los Andes Calle Larga,Los Andes,RUTA 1,3,CENTRO LOS ANDES,LOS ANDES,PARADER 11 AL 15,CALLE LARGA,8.5,,,,,,,1102,,,,,,21:01,23:00,2201,17/10/22,COLECTIVO RURAL,
1,Asoc. Gremial de Taxis Colectivos Los Andes Calle Larga,Los Andes,RUTA 1,4,CENTRO LOS ANDES,LOS ANDES,"CAMPOS DE POCURO, CAMILO MORI",CALLE LARGA,8,,,,,,,1102,,,,,,21:01,23:00,2201,17/10/22,COLECTIVO RURAL,
1,Asoc. Gremial de Taxis Colectivos Los Andes Calle Larga,Los Andes,RUTA 1,5,CENTRO LOS ANDES,LOS ANDES,"POBLACIÓN LAS NIEVES, POCURO",CALLE LARGA,8.5,,,,,,,1202,,,,,,21:00,23:00,2201,17/10/22,COLECTIVO RURAL,
1,Asoc. Gremial de Taxis Colectivos Los Andes Calle Larga,Los Andes,RUTA 1,6,CENTRO LOS ANDES,LOS ANDES,PARADERO 15 AL 20,CALLE LARGA,9,,,,,,,1302,,,,,,21:00,23:00,2201,17/10/22,COLECTIVO RURAL,
1,Asoc. Gremial de Taxis Colectivos Los Andes Calle Larga,Los Andes,RUTA 1,7,CENTRO LOS ANDES,LOS ANDES,PARADERO 20 AL 26,CALLE LARGA,10,,,,,,,1402,,,,,,21:00,23:00,2201,17/10/22,COLECTIVO RURAL,
3,ASOC.GREMIAL.TAXIS.COLEC.ATACSE,Los Andes,Ruta 1,1,Esmeralda,Los Andes,Av. Alessandri,Los Andes,2,651,,,,,,,,,,,,07.00,21.00,557,14/03/17,COLECTIVO RURAL,
3,ASOC.GREMIAL.TAXIS.COLEC.ATACSE,Los Andes,Ruta 1,2,Esmeralda,Los Andes,La Puntilla,San Esteban,5,1001,,,,,,,,,,,,07.00,21.00,557,14/03/17,COLECTIVO RURAL,
3,ASOC.GREMIAL.TAXIS.COLEC.ATACSE,Los Andes,Ruta 1,3,Esmeralda,Los Andes,Paidahuen,San Esteban,6,1501,,,,,,,,,,,,07.00,21.00,557,14/03/17,COLECTIVO RURAL,
3,ASOC.GREMIAL.TAXIS.COLEC.ATACSE,Los Andes,Ruta 1,4,Esmeralda,Los Andes,San Miguel,San Esteban,8,2001,,,,,,,,,,,,07.00,21.00,557,14/03/17,COLECTIVO RURAL,
3,ASOC.GREMIAL.TAXIS.COLEC.ATACSE,Los Andes,Ruta 1,5,Esmeralda,Los Andes,El Carrizo,San Esteban,11,2501,,,,,,,,,,,,07.00,21.00,557,14/03/17,COLECTIVO RURAL,
3,ASOC.GREMIAL.TAXIS.COLEC.ATACSE,Los Andes,Ruta 1,6,Esmeralda,Los Andes,La Florida,San Esteban,7,1301,,,,,,,,,,,,07.00,21.00,557,14/03/17,COLECTIVO RURAL,
3,ASOC.GREMIAL.TAXIS.COLEC.ATACSE,Los Andes,Ruta 1,7,Esmeralda,Los Andes,Reyes,San Esteban,8,951,,,,,,,,,,,,07.00,21.00,557,14/03/17,COLECTIVO RURAL,
3,ASOC.GREMIAL.TAXIS.COLEC.ATACSE,Los Andes,Ruta 1,8,Esmeralda,Los Andes,Plaza San Esteban,San Esteban,6,601,,,,,,,,,,,,07.00,21.00,557,14/03/17,COLECTIVO RURAL,
3,ASOC.GREMIAL.TAXIS.COLEC.ATACSE,Los Andes,Ruta 1,9,Esmeralda,Los Andes,San Francisco,San Esteban,12,2001,,,,,,,,,,,,07.00,21.00,557,14/03/17,COLECTIVO RURAL,
3,ASOC.GREMIAL.TAXIS.COLEC.ATACSE,Los Andes,Ruta 1,10,Esmeralda,Los Andes,El Villorrio,San Esteban,15,2501,,,,,,,,,,,,07.00,21.00,557,14/03/17,COLECTIVO RURAL,
3,ASOC.GREMIAL.TAXIS.COLEC.ATACSE,Los Andes,Ruta 2,1,Esmeralda,Los Andes,Villa Trasandino,Los Andes,2,651,,,,,,,,,,,,07.00,21.00,557,14/03/17,COLECTIVO RURAL,
3,ASOC.GREMIAL.TAXIS.COLEC.ATACSE,Los Andes,Ruta 2,2,Esmeralda,Los Andes,El Mirador,Los Andes,3,651,,,,,,,,,,,,07.00,21.00,557,14/03/17,COLECTIVO RURAL,
3,ASOC.GREMIAL.TAXIS.COLEC.ATACSE,Los Andes,Ruta 2,3,Esmeralda,Los Andes,Los Olmos,San Esteban,4,801,,,,,,,,,,,,07.00,21.00,557,14/03/17,COLECTIVO RURAL,
3,ASOC.GREMIAL.TAXIS.COLEC.ATACSE,Los Andes,Ruta 2,4,Esmeralda,Los Andes,Tocornal,San Esteban,5,701,,,,,,,,,,,,07.00,21.00,557,14/03/17,COLECTIVO RURAL,
3,ASOC.GREMIAL.TAXIS.COLEC.ATACSE,Los Andes,Ruta 2,5,Esmeralda,Los Andes,Foncea,San Esteban,8,1301,,,,,,,,,,,,07.00,21.00,557,14/03/17,COLECTIVO RURAL,
3,ASOC.GREMIAL.TAXIS.COLEC.ATACSE,Los Andes,Ruta 2,6,Esmeralda,Los Andes,Av. Santa Teresa,San Esteban,7,1201,,,,,,,,,,,,07.00,21.00,557,14/03/17,COLECTIVO RURAL,
3,ASOC.GREMIAL.TAXIS.COLEC.ATACSE,Los Andes,Ruta 2,7,Esmeralda,Los Andes,La Chaparrina,San Esteban,8,1301,,,,,,,,,,,,07.00,21.00,557,14/03/17,COLECTIVO RURAL,
3,ASOC.GREMIAL.TAXIS.COLEC.ATACSE,Los Andes,Ruta 2,8,Esmeralda,Los Andes,San Rejis,San Esteban,11,1301,,,,,,,,,,,,07.00,21.00,557,14/03/17,COLECTIVO RURAL,
3,ASOC.GREMIAL.TAXIS.COLEC.ATACSE,Los Andes,Ruta 2,9,Esmeralda,Los Andes,La Castrina,San Esteban,13,1001,,,,,,,,,,,,07.00,21.00,557,14/03/17,COLECTIVO RURAL,
