DATOS EMPRESA,,,TRAMOS A COBRAR,,,,,,DISTANCIA,ADULTO,ESCOLAR MEDIA,ESCOLAR SUPERIOR,TARIFA ADULTO MAYOR,TARIFA MINIMA,INTERIOR,NOCTURNA,LOCAL URBANO,LOCAL RURAL,INTERMEDIOS,TRASNOCHE,DGOS. Y FESTIVOS,INICIO,TÉRMINO,N° Resolucion,Fecha
Folio,NOMBRE EMPRESA,COMUNA,Troncal - RUTA O VTE,TRAMO,SECTOR INICIO,COMUNA,SECTOR TÉRMINO,COMUNA,KM.,$,$,$,$,$,$,$,$,$,$,$,$,$,Hrs:,Hrs:,
400094,EMPRESA DE TRANSPORTES QUIBUS S.A.,Quillota,VARIANTE 2,3,"CALETERA 7, PARCELA SAN ANDRES",QUILLOTA,ACONCAGUA  (Circunvala) ,QUILLOTA,10,400,132,,,,,,,,,,,07.10,21.00,4334,18/10/18
400085,Emp.de Transp.de Pasaj.Jose Arancibia y Cia. Ltda.,Los Andes,Troncal,1,Mateo Dïaz 750,Los Andes,Portal Nevado,Los Andes,56.6,650,,,,,,,,,,,,06.50,21.00,2410,17/08/15
400085,Emp.de Transp.de Pasaj.Jose Arancibia y Cia. Ltda.,Los Andes,Troncal,1,Mateo Dïaz 750,Los Andes,Combate Naval,Los Andes,55.6,650,,,,,,,,,,,,06.50,21.00,2410,17/08/15
400103,SOCIEDAD DE PASAJEROS LCI LTDA.,Quillota,Troncal,1,Terminal Lorca Prieto s/n,Quillota,Terminal Lorca Prieto Circunvala,Quilota,15,350,100,150,,,,,,,,,,07.00,21.00,216,17/01/14
400103,SOCIEDAD DE PASAJEROS LCI LTDA.,Quillota,Troncal,1,Terminal Lorca Prieto s/n,Quillota,Terminal Lorca Prieto Circunvala,Quillota,20,350,,,,,,,,,,,,07.00,21.00,2204,13/08/14
411002,EMPRESA DE TRANSPORTES PUMA S.A.,San Felipe,TRONCAL  RUTA1,1,Juan Rozas,Putaendo,Av. Yungay,San Felipe,30,1500,600,600,,,,,,,,,,06:00,21:00,1364,27/07/22
411002,EMPRESA DE TRANSPORTES PUMA S.A.,San Felipe,TRONCAL RUTA 2,1,Juan Rozas,Putaendo,Av. Yungay,San Felipe,30,1500,600,600,,,,,,,,,,06:00,21:00,1364,27/07/22
411002,EMPRESA DE TRANSPORTES PUMA S.A.,San Felipe,TRONCAL 3,1,Juan Rozas,Putaendo,Pob. Hidalgo,Putaendo,36,1800,720,720,,,,,,,,,,06:00,21:00,1364,27/07/22
411002,EMPRESA DE TRANSPORTES PUMA S.A.,San Felipe,TRONCAL 4,1,Juan Rozas,Putaendo,Pob. Hidalgo,Putaendo,36,1800,720,720,,,,,,,,,,06:00,21:00,1364,27/07/22
411002,EMPRESA DE TRANSPORTES PUMA S.A.,San Felipe,TRONCAL 5,1,Juan Rozas,Putaendo,Lo Vicuña,Putaendo,36,1700,680,680,,,,,,,,,,06:00,21:00,1364,27/07/22
411002,EMPRESA DE TRANSPORTES PUMA S.A.,San Felipe,TRONCAL 6,1,Juan Rozas,Putaendo,Lo Vicuña,Putaendo,36,1700,680,680,,,,,,,,,,06:00,21:00,1364,27/07/22
500000,SERVICIOS DE TRANSP. AGDABUS S.A.,Limache,1,1,AV.VICTORIA,LIMACHE,EASTMAN,LIMACHE,12,350,140,175,,,,,,,,,,06.30,23.00,3482,26/11/19
500000,SERVICIOS DE TRANSP. AGDABUS S.A.,Limache,1,2,AV.VICTORIA,LIMACHE,PORTALES,OLMUÉ,22,500,200,250,,,,,,,,,,06.30,23.00,3482,26/11/19
500000,SERVICIOS DE TRANSP. AGDABUS S.A.,Limache,1,3,AV.VICTORIA,LIMACHE,GRANIZO,OLMUÉ,32,600,240,300,,,,,,,,,,06.30,23.00,3482,26/11/19
500000,SERVICIOS DE TRANSP. AGDABUS S.A.,Limache,2,1,AV. GRANIZO,OLMUÉ,AV.EASTMAN P10,OLMUÉ,8,300,140,175,,,,,,,,,,07.00,20.00,3482,26/11/19
500000,SERVICIOS DE TRANSP. AGDABUS S.A.,Limache,2,2,AV. GRANIZO,OLMUÉ,PALMIRA ROMANO NORTE,LIMACHE,22,600,240,300,,,,,,,,,,07.00,20.00,3482,26/11/19
500000,SERVICIOS DE TRANSP. AGDABUS S.A.,Limache,2,3,AV. GRANIZO,OLMUÉ,ROTONDA CON-CON,CON-CON,42,1200,480,600,,,,,,,,,,07.00,20.00,3482,26/11/19
500000,SERVICIOS DE TRANSP. AGDABUS S.A.,Limache,2,4,AV. GRANIZO,OLMUÉ,AV. FULNES,QUINTEROS,120,1600,640,800,,,,,,,,,,07.00,20.00,3482,26/11/19
500000,SERVICIOS DE TRANSP. AGDABUS S.A.,Limache,3,1,AV. URMENETA,LIMACHE,AV. 18 DE SEPTIEMBRE,LIMACHE,12,350,140,175,,,,,,,,,,07.00,21.00,3482,26/11/19
500000,SERVICIOS DE TRANSP. AGDABUS S.A.,Limache,3,2,AV. URMENETA,LIMACHE,LOS LEONES,LIMACHE,18,500,200,250,,,,,,,,,,07.00,21.00,3482,26/11/19
500000,SERVICIOS DE TRANSP. AGDABUS S.A.,Limache,3,3,AV. URMENETA,LIMACHE,LLIU-LLIU,LIMACHE,28,700,280,350,,,,,,,,,,07.00,21.00,3482,26/11/19
500000,SERVICIOS DE TRANSP. AGDABUS S.A.,Limache,4,1,AV. URMENETA,LIMACHE,MAIPU,QUILLOTA,36,600,240,300,,,,,,,,,,06.30,23.00,3482,26/11/19
500000,SERVICIOS DE TRANSP. AGDABUS S.A.,Limache,5,1,AV. VICTORIA,LIMACHE,AV. EASTMAN P10,LIMACHE,12,350,140,175,,,,,,,,,,07.00,21.00,3482,26/11/19
500000,SERVICIOS DE TRANSP. AGDABUS S.A.,Limache,5,2,AV. VICTORIA,LIMACHE,CALLE COLEGIO,OLMUÉ,26,500,200,250,,,,,,,,,,07.00,21.00,3482,26/11/19
500000,SERVICIOS DE TRANSP. AGDABUS S.A.,Limache,5,3,AV. VICTORIA,LIMACHE,QUEBRADA ALVARADO,OLMUÉ,35,700,280,350,,,,,,,,,,07.00,21.00,3482,26/11/19
500000,SERVICIOS DE TRANSP. AGDABUS S.A.,Limache,5,4,AV. VICTORIA,LIMACHE,NIÑO DIOS LAS PALMAS,OLMUÉ,55,1200,480,600,,,,,,,,,,07.00,21.00,3482,26/11/19
500000,SERVICIOS DE TRANSP. AGDABUS S.A.,Limache,6,1,AV. VICTORIA,LIMACHE,AV. EASTMAN P10,LIMACHE,12,350,140,175,,,,,,,,,,07.00,22.00,3482,26/11/19
500000,SERVICIOS DE TRANSP. AGDABUS S.A.,Limache,6,2,AV. VICTORIA,LIMACHE,CALLE COLEGIO,OLMUÉ,26,500,200,250,,,,,,,,,,07.00,22.00,3482,26/11/19
